epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,74.8483,1.2899,1.0651,1.15107,0.87819,0.86364,0.92283,0.54759,1.31967,1.30901,1.0411,0.000514312,0.000514312,0.000514312
28,77.6089,1.25089,0.87016,1.01189,0.84806,0.81405,0.88731,0.54439,1.31953,1.36937,1.06375,0.00051194,0.00051194,0.00051194
29,80.4963,1.27801,0.90619,1.06174,0.84806,0.81405,0.88731,0.54439,1.31953,1.36937,1.06375,0.000507984,0.000507984,0.000507984
30,83.1327,1.26477,0.93131,1.091,0.89007,0.87603,0.92679,0.59823,1.2268,1.16003,1.03472,0.000502444,0.000502444,0.000502444
31,85.5653,1.17463,0.92282,1.094,0.89007,0.87603,0.92679,0.59823,1.2268,1.16003,1.03472,0.00049532,0.00049532,0.00049532
32,88.1059,1.18744,0.83022,1.02564,0.89007,0.87603,0.92679,0.59823,1.2268,1.16003,1.03472,0.000486612,0.000486612,0.000486612
33,90.756,1.30535,0.92009,0.99306,0.90087,0.89669,0.94811,0.63098,1.14305,1.02228,1.0018,0.00047632,0.00047632,0.00047632
34,93.2594,1.20286,0.86028,1.01207,0.90087,0.89669,0.94811,0.63098,1.14305,1.02228,1.0018,0.000464444,0.000464444,0.000464444
35,95.868,1.10355,0.79298,1.00217,0.90087,0.89669,0.94811,0.63098,1.14305,1.02228,1.0018,0.000450984,0.000450984,0.000450984
36,98.5073,1.2145,0.83985,1.03517,0.91026,0.90496,0.95383,0.64563,1.11432,0.99377,0.99386,0.00043594,0.00043594,0.00043594
37,101.056,1.18372,0.9001,1.06403,0.91026,0.90496,0.95383,0.64563,1.11432,0.99377,0.99386,0.000419312,0.000419312,0.000419312
38,103.629,1.22293,0.97997,1.06229,0.91026,0.90496,0.95383,0.64563,1.11432,0.99377,0.99386,0.0004011,0.0004011,0.0004011
39,106.148,1.24791,0.85072,0.9917,0.92384,0.92975,0.96309,0.65752,1.11216,0.98732,0.99659,0.000381304,0.000381304,0.000381304
40,108.634,1.2753,0.92133,1.01676,0.92384,0.92975,0.96309,0.65752,1.11216,0.98732,0.99659,0.000359924,0.000359924,0.000359924
41,111.126,1.23238,1.0953,1.00907,0.92384,0.92975,0.96309,0.65752,1.11216,0.98732,0.99659,0.00033696,0.00033696,0.00033696
42,113.573,1.16114,1.29959,1.01731,0.94568,0.93518,0.96716,0.67254,1.10119,0.93697,0.99833,0.000312412,0.000312412,0.000312412
43,116.494,1.14898,0.94229,1.01091,0.94568,0.93518,0.96716,0.67254,1.10119,0.93697,0.99833,0.00028628,0.00028628,0.00028628
44,119.088,1.30671,1.35861,1.06634,0.94568,0.93518,0.96716,0.67254,1.10119,0.93697,0.99833,0.000258564,0.000258564,0.000258564
45,121.593,1.27972,1.55724,1.07176,0.94568,0.93518,0.96716,0.67254,1.10119,0.93697,0.99833,0.000229264,0.000229264,0.000229264
46,124.123,1.16207,0.97812,1.03997,0.96585,0.93491,0.9741,0.67769,1.08857,0.86437,0.99516,0.00019838,0.00019838,0.00019838
47,126.569,1.11194,0.88288,1.02762,0.96585,0.93491,0.9741,0.67769,1.08857,0.86437,0.99516,0.000165912,0.000165912,0.000165912
48,129.006,1.12793,0.86092,1.0071,0.96585,0.93491,0.9741,0.67769,1.08857,0.86437,0.99516,0.00013186,0.00013186,0.00013186
49,131.429,1.20625,0.96647,0.99698,0.96585,0.93491,0.9741,0.67769,1.08857,0.86437,0.99516,9.6224e-05,9.6224e-05,9.6224e-05
50,133.898,1.18649,0.94632,1.02395,0.97044,0.94964,0.97925,0.68715,1.07332,0.80234,0.9932,5.9004e-05,5.9004e-05,5.9004e-05
