epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19354,2.11518,3.67952,1.64022,0.00629,0.07438,0.00338,0.00112,1.65798,3.60953,1.47484,2e-05,2e-05,2e-05
2,7.9383,2.34288,3.67286,1.52501,0.02207,0.2686,0.01401,0.00591,1.49936,3.54971,1.34855,5.8812e-05,5.8812e-05,5.8812e-05
3,10.4794,1.84126,3.50083,1.41885,0.06367,0.78512,0.09697,0.05032,1.4841,3.34129,1.2008,9.604e-05,9.604e-05,9.604e-05
4,13.1081,1.73648,3.32801,1.27755,0.07597,0.93802,0.22469,0.11268,1.49547,3.19608,1.12876,0.000131684,0.000131684,0.000131684
5,16.0566,1.66323,3.01712,1.26876,0.07721,0.95455,0.23542,0.11647,1.50385,3.16596,1.12838,0.000165744,0.000165744,0.000165744
6,18.6102,1.4949,2.75573,1.16585,0.076,0.94215,0.23237,0.11234,1.50066,3.14186,1.13525,0.00019822,0.00019822,0.00019822
7,21.3273,1.55692,2.63811,1.12171,0.07633,0.94628,0.22658,0.11083,1.46616,3.11169,1.13466,0.000229112,0.000229112,0.000229112
8,24.1639,1.51631,2.33553,1.13921,0.07733,0.95868,0.2431,0.1277,1.37286,3.02263,1.09456,0.00025842,0.00025842,0.00025842
9,26.7797,1.44249,2.20722,1.20479,0.07667,0.95041,0.24849,0.13105,1.4154,2.92219,1.10641,0.000286144,0.000286144,0.000286144
10,29.3375,1.52215,1.6972,1.09263,0.07733,0.95868,0.62176,0.32759,1.43104,2.76938,1.1231,0.000312284,0.000312284,0.000312284
11,32.0473,1.69942,1.50956,1.1116,0.078,0.96694,0.85051,0.43171,1.48155,2.55976,1.18569,0.00033684,0.00033684,0.00033684
12,34.606,1.50763,1.3708,1.08899,0.078,0.96694,0.85051,0.43171,1.48155,2.55976,1.18569,0.000359812,0.000359812,0.000359812
13,37.1989,1.52275,1.2881,1.05069,0.88343,0.76446,0.8808,0.41797,1.54173,2.37969,1.17295,0.0003812,0.0003812,0.0003812
14,39.7046,1.48324,1.22953,1.0786,0.95675,0.63988,0.89076,0.46598,1.43631,2.21127,1.08492,0.000401004,0.000401004,0.000401004
15,42.2457,1.44963,1.17691,1.08652,0.95675,0.63988,0.89076,0.46598,1.43631,2.21127,1.08492,0.000419224,0.000419224,0.000419224
16,44.8304,1.57433,1.1365,1.08516,0.94413,0.76816,0.91823,0.54439,1.30995,1.98472,1.02867,0.00043586,0.00043586,0.00043586
17,47.364,1.41203,1.01501,1.07061,0.92057,0.86204,0.9222,0.57215,1.29457,1.72596,1.02319,0.000450912,0.000450912,0.000450912
18,50.0581,1.32909,0.9404,1.04063,0.92057,0.86204,0.9222,0.57215,1.29457,1.72596,1.02319,0.00046438,0.00046438,0.00046438
19,52.8054,1.48805,1.04106,1.10661,0.93189,0.90455,0.94242,0.58997,1.29623,1.47829,1.02662,0.000476264,0.000476264,0.000476264
20,55.3549,1.4135,1.11227,1.11856,0.93189,0.90455,0.94242,0.58997,1.29623,1.47829,1.02662,0.000486564,0.000486564,0.000486564
21,57.9229,1.33352,0.94497,1.05712,0.92572,0.91322,0.94844,0.58919,1.26989,1.31352,1.01817,0.00049528,0.00049528,0.00049528
22,60.7231,1.34164,1.07032,1.1123,0.92572,0.91322,0.94844,0.58919,1.26989,1.31352,1.01817,0.000502412,0.000502412,0.000502412
23,63.4259,1.27322,0.94711,1.05744,0.93716,0.88843,0.94776,0.57511,1.27511,1.26976,1.01537,0.00050796,0.00050796,0.00050796
24,66.4895,1.32319,0.89501,1.01176,0.93716,0.88843,0.94776,0.57511,1.27511,1.26976,1.01537,0.000511924,0.000511924,0.000511924
25,69.3352,1.23521,0.93423,1.0322,0.87819,0.86364,0.92283,0.54759,1.31967,1.30901,1.0411,0.000514304,0.000514304,0.000514304
26,72.0545,1.24343,0.8642,1.06498,0.87819,0.86364,0.92283,0.54759,1.31967,1.30901,1.0411,0.0005151,0.0005151,0.0005151
