epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6331,4.39633,12.7423,2.11994,0,0,0,0,3.85196,9.44581,2.10016,6.09e-05,6.09e-05,6.09e-05
2,76.7633,3.24504,7.64352,1.63864,0,0,0,0,2.67003,7.27904,1.44824,0.000123652,0.000123652,0.000123652
3,115.721,2.88234,6.70831,1.38928,0,0,0,0,2.5545,6.23817,1.27918,0.000183821,0.000183821,0.000183821
4,152.94,2.63181,5.92036,1.2333,0.25,0.00226,0.12556,0.11301,2.50873,5.60151,1.20653,0.000241405,0.000241405,0.000241405
5,190.728,2.51669,4.59289,1.21215,0.04611,0.21719,0.08727,0.03533,2.48036,4.83713,1.21105,0.000296406,0.000296406,0.000296406
6,226.282,2.4153,3.93471,1.19912,0.63574,0.11045,0.08179,0.0334,2.43914,4.01501,1.19637,0.000348822,0.000348822,0.000348822
7,260.376,2.47052,3.8777,1.21529,0.63194,0.16742,0.10552,0.03747,2.36347,3.95634,1.20152,0.000383322,0.000383322,0.000383322
8,294.252,2.47982,3.68644,1.13671,0.71102,0.14932,0.13277,0.04643,2.33068,3.64412,1.15114,0.000374709,0.000374709,0.000374709
9,329.224,2.43661,3.6864,1.15802,0.68467,0.19683,0.14442,0.05283,2.32125,3.31349,1.12583,0.000366096,0.000366096,0.000366096
10,363.751,2.31497,3.11552,1.11805,0.70289,0.20814,0.16177,0.06555,2.33188,3.08534,1.12699,0.000357483,0.000357483,0.000357483
11,398.43,2.30851,3.18838,1.16937,0.78046,0.20588,0.21217,0.0903,2.18926,2.95558,1.10498,0.00034887,0.00034887,0.00034887
12,433.643,2.20619,3.38291,1.1579,0.77958,0.19005,0.21238,0.09743,2.17338,2.86152,1.10649,0.000340257,0.000340257,0.000340257
13,468.221,2.27835,3.27512,1.10672,0.82015,0.19331,0.22245,0.09895,2.16026,2.8497,1.09433,0.000331644,0.000331644,0.000331644
14,502.485,2.12007,2.8608,1.1435,0.82076,0.19457,0.22911,0.10381,2.14821,2.84984,1.08103,0.000323031,0.000323031,0.000323031
15,537.146,2.22839,2.94763,1.08887,0.89492,0.18552,0.25417,0.11216,2.08231,2.73605,1.06955,0.000314418,0.000314418,0.000314418
16,571.823,2.17497,3.0832,1.10101,0.83744,0.20136,0.24231,0.11235,2.00105,2.68263,1.05735,0.000305805,0.000305805,0.000305805
17,606.634,2.13933,2.67923,1.1328,0.79721,0.22624,0.23956,0.11253,1.99454,2.69032,1.05841,0.000297192,0.000297192,0.000297192
18,641.265,2.01638,2.65164,1.06979,0.78679,0.22398,0.24646,0.11752,2.05159,2.55045,1.07511,0.000288579,0.000288579,0.000288579
19,675.351,1.9911,2.74632,1.07582,0.82535,0.23529,0.27944,0.13069,2.01163,2.43445,1.06522,0.000279966,0.000279966,0.000279966
20,709.467,2.07648,2.7179,1.06252,0.7718,0.23756,0.25735,0.11814,1.98755,2.45805,1.05336,0.000271353,0.000271353,0.000271353
21,743.543,2.04503,2.64339,1.0477,0.80423,0.23529,0.26396,0.12427,1.91369,2.37529,1.03797,0.00026274,0.00026274,0.00026274
22,778.106,2.01972,2.42311,1.03551,0.86531,0.22624,0.27767,0.13044,1.87706,2.36009,1.02734,0.000254127,0.000254127,0.000254127
23,812.017,2.02793,2.51518,1.03322,0.88119,0.23229,0.29126,0.14619,1.84778,2.3363,1.01223,0.000245514,0.000245514,0.000245514
24,846.101,2.02657,2.60575,1.03438,0.34575,0.23529,0.29119,0.14995,1.85005,2.25932,1.00858,0.000236901,0.000236901,0.000236901
25,880.639,2.04093,2.68879,1.04782,0.39112,0.26685,0.29633,0.14924,1.89262,2.25957,1.01445,0.000228288,0.000228288,0.000228288
26,914.993,1.96586,2.32461,1.03653,0.86451,0.24957,0.30976,0.15845,1.82912,2.1868,0.99641,0.000219675,0.000219675,0.000219675
27,949.425,2.01181,2.8711,1.02577,0.83113,0.27506,0.31983,0.16839,1.79475,2.14672,0.98689,0.000211062,0.000211062,0.000211062
28,983.738,1.90602,2.55092,1.0243,0.82378,0.27851,0.3014,0.15942,1.82769,2.20189,0.99168,0.000202449,0.000202449,0.000202449
29,1018.1,1.96308,2.6321,1.02225,0.83063,0.27602,0.30709,0.15783,1.83924,2.22911,0.99279,0.000193836,0.000193836,0.000193836
30,1053.86,1.85455,2.21296,1.03646,0.82143,0.28507,0.31788,0.1644,1.83868,2.18239,0.99427,0.000185223,0.000185223,0.000185223
